record,year,entry,range,plot,column,block,pblock,pop,entry99,dla1,dla2,dla3,logitdla1,logitdla2,logitdla3,dla1p,dla2p,dla3p,rowqlt,dta
23,1,182,4,74,8,6,16,16,182,1,1,1,-1.995635195,-1.995635195,-1.995635195,0.01,0.01,0.01,1,90
24,1,30,4,78,8,5,16,16,30,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,1,77
25,1,147,5,14,2,2,24,24,147,25,25,35,-0.477121255,-0.477121255,-0.268845312,0.25,0.25,0.35,1,84
26,1,73,5,37,4,6,12,12,73,0,5,5,-2.298853076,-1.278753601,-1.278753601,0.005,0.05,0.05,1,90
27,1,145,5,40,4,6,12,12,145,10,10,20,-0.954242509,-0.954242509,-0.602059991,0.1,0.1,0.2,1,81
28,1,88,5,45,5,5,12,12,88,1,1,15,-1.995635195,-1.995635195,-0.753327667,0.01,0.01,0.15,1,88
29,1,16,5,54,6,5,12,12,16,1,5,25,-1.995635195,-1.278753601,-0.477121255,0.01,0.05,0.25,1,78
30,1,1,5,55,6,5,12,12,1,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,81
31,1,32,5,57,6,4,12,12,32,NA,1,20,NA,-1.995635195,-0.602059991,NA,0.01,0.2,1,91
32,1,87,5,68,7,1,4,4,87,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,99
33,1,57,5,71,8,1,4,4,57,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,1,84
34,1,40,5,76,8,1,4,4,40,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,1,84
35,1,35,5,87,9,2,4,4,35,5,NA,15,-1.278753601,NA,-0.753327667,0.05,NA,0.15,1,85
36,1,14,5,88,9,2,4,4,14,10,20,20,-0.954242509,-0.602059991,-0.602059991,0.1,0.2,0.2,1,83
37,1,109,5,91,10,3,4,4,109,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,88
38,1,202,6,9,1,1,24,27,24,25,20,30,-0.477121255,-0.602059991,-0.367976785,0.25,0.2,0.3,1,68
39,1,55,6,23,3,3,24,24,55,25,25,30,-0.477121255,-0.477121255,-0.367976785,0.25,0.25,0.3,1,71
40,1,175,6,32,4,3,24,24,175,20,25,30,-0.602059991,-0.477121255,-0.367976785,0.2,0.25,0.3,1,79
41,1,188,6,39,4,6,12,12,188,5,10,20,-1.278753601,-0.954242509,-0.602059991,0.05,0.1,0.2,1,81
42,1,40,6,48,5,5,12,12,40,15,15,20,-0.753327667,-0.753327667,-0.602059991,0.15,0.15,0.2,1,89
43,1,148,6,50,5,5,12,12,148,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,1,87
44,1,52,6,57,6,4,12,12,52,10,25,35,-0.954242509,-0.477121255,-0.268845312,0.1,0.25,0.35,1,90
45,1,151,6,65,7,4,12,12,151,5,15,30,-1.278753601,-0.753327667,-0.367976785,0.05,0.15,0.3,1,85
46,1,94,6,75,8,1,4,4,94,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,1,85
47,1,33,6,76,8,1,4,4,33,1,5,10,-1.995635195,-1.278753601,-0.954242509,0.01,0.05,0.1,1,88
48,1,18,6,91,10,3,4,4,18,5,5,1,-1.278753601,-1.278753601,-1.995635195,0.05,0.05,0.01,1,82
49,1,155,7,4,1,6,24,24,155,10,5,20,-0.954242509,-1.278753601,-0.602059991,0.1,0.05,0.2,1,80
50,1,193,7,8,1,6,24,24,193,30,25,40,-0.367976785,-0.477121255,-0.176091259,0.3,0.25,0.4,1,71
51,1,44,7,34,4,1,12,12,44,15,20,NA,-0.753327667,-0.602059991,NA,0.15,0.2,NA,1,86
52,1,124,7,35,4,1,12,12,124,5,10,30,-1.278753601,-0.954242509,-0.367976785,0.05,0.1,0.3,1,88
53,1,156,7,46,5,2,12,12,156,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,1,86
54,1,131,7,49,5,2,12,12,131,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,1,86
55,1,37,7,50,5,2,12,12,37,NA,1,10,NA,-1.995635195,-0.954242509,NA,0.01,0.1,1,89
56,1,49,7,54,6,2,12,12,49,20,25,35,-0.602059991,-0.477121255,-0.268845312,0.2,0.25,0.35,1,85
57,1,155,7,57,6,3,12,12,155,NA,1,10,NA,-1.995635195,-0.954242509,NA,0.01,0.1,1,81
58,1,165,7,75,8,6,4,4,165,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,84
59,1,90,7,88,9,5,4,4,90,5,10,15,-1.278753601,-0.954242509,-0.753327667,0.05,0.1,0.15,1,83
60,1,121,7,90,9,4,4,4,121,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,1,82
61,1,16,7,96,10,4,4,4,16,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,1,87
62,1,128,8,26,3,4,24,24,128,20,25,35,-0.602059991,-0.477121255,-0.268845312,0.2,0.25,0.35,1,71
63,1,63,8,41,5,1,12,12,63,10,5,15,-0.954242509,-1.278753601,-0.753327667,0.1,0.05,0.15,1,85
64,1,89,8,57,6,3,12,12,89,10,10,15,-0.954242509,-0.954242509,-0.753327667,0.1,0.1,0.15,1,87
65,1,29,8,71,8,6,4,4,29,0,NA,15,-2.298853076,NA,-0.753327667,0.005,NA,0.15,1,93
66,1,115,8,73,8,6,4,4,115,10,5,25,-0.954242509,-1.278753601,-0.477121255,0.1,0.05,0.25,1,89
67,1,141,8,75,8,6,4,4,141,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,1,88
68,1,194,8,80,8,5,4,4,194,5,10,20,-1.278753601,-0.954242509,-0.602059991,0.05,0.1,0.2,1,82
69,1,142,8,81,9,5,4,4,142,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,86
70,1,158,8,91,10,4,4,4,158,5,10,10,-1.278753601,-0.954242509,-0.954242509,0.05,0.1,0.1,1,88
71,1,6,8,93,10,4,4,4,6,NA,NA,25,NA,NA,-0.477121255,NA,NA,0.25,1,79
72,1,59,9,10,1,1,3,3,59,10,1,10,-0.954242509,-1.995635195,-0.954242509,0.1,0.01,0.1,1,90
73,1,82,9,24,3,3,3,3,82,5,5,25,-1.278753601,-1.278753601,-0.477121255,0.05,0.05,0.25,1,87
74,1,4,9,26,3,3,3,3,4,25,20,35,-0.477121255,-0.602059991,-0.268845312,0.25,0.2,0.35,1,87
75,1,79,9,31,4,3,3,3,79,1,1,15,-1.995635195,-1.995635195,-0.753327667,0.01,0.01,0.15,1,84
76,1,17,9,32,4,3,3,3,17,15,15,30,-0.753327667,-0.753327667,-0.367976785,0.15,0.15,0.3,1,85
77,1,151,9,33,4,3,3,3,151,5,10,30,-1.278753601,-0.954242509,-0.367976785,0.05,0.1,0.3,1,79
78,1,184,9,49,5,5,18,18,184,5,10,10,-1.278753601,-0.954242509,-0.954242509,0.05,0.1,0.1,1,88
79,1,150,9,56,6,4,18,18,150,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,87
80,1,160,9,85,9,2,10,10,160,25,35,40,-0.477121255,-0.268845312,-0.176091259,0.25,0.35,0.4,1,84
81,1,61,9,97,10,3,10,10,61,15,25,25,-0.753327667,-0.477121255,-0.477121255,0.15,0.25,0.25,1,80
82,1,125,10,7,1,1,3,3,125,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,80
83,1,67,10,8,1,1,3,3,67,10,15,NA,-0.954242509,-0.753327667,NA,0.1,0.15,NA,1,85
84,1,177,10,17,2,2,3,3,177,NA,1,5,NA,-1.995635195,-1.278753601,NA,0.01,0.05,1,79
85,1,75,10,18,2,2,3,3,75,15,20,35,-0.753327667,-0.602059991,-0.268845312,0.15,0.2,0.35,1,86
86,1,49,10,23,3,3,3,3,49,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,88
87,1,195,10,44,5,6,18,18,195,20,30,35,-0.602059991,-0.367976785,-0.268845312,0.2,0.3,0.35,1,88
88,1,40,10,50,5,5,18,18,40,NA,NA,5,NA,NA,-1.278753601,NA,NA,0.05,1,NA
89,1,160,10,59,6,4,18,18,160,20,30,30,-0.602059991,-0.367976785,-0.367976785,0.2,0.3,0.3,1,83
90,1,72,10,84,9,2,10,10,72,NA,NA,25,NA,NA,-0.477121255,NA,NA,0.25,1,84
91,1,39,10,97,10,3,10,10,39,20,30,35,-0.602059991,-0.367976785,-0.268845312,0.2,0.3,0.35,1,79
92,1,93,11,5,1,6,3,3,93,NA,10,20,NA,-0.954242509,-0.602059991,NA,0.1,0.2,1,85
93,1,91,11,6,1,6,3,3,91,0,1,5,-2.298853076,-1.995635195,-1.278753601,0.005,0.01,0.05,1,82
94,1,166,11,30,3,4,3,3,166,5,5,25,-1.278753601,-1.278753601,-0.477121255,0.05,0.05,0.25,1,76
95,1,135,11,34,4,1,18,18,135,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,86
96,1,189,11,52,6,2,18,18,189,NA,1,5,NA,-1.995635195,-1.278753601,NA,0.01,0.05,1,NA
97,1,31,11,56,6,3,18,18,31,5,20,25,-1.278753601,-0.602059991,-0.477121255,0.05,0.2,0.25,1,82
98,1,183,11,65,7,3,18,18,183,15,25,25,-0.753327667,-0.477121255,-0.477121255,0.15,0.25,0.25,1,87
99,1,3,11,66,7,3,18,18,3,10,15,NA,-0.954242509,-0.753327667,NA,0.1,0.15,NA,1,NA
100,1,190,11,85,9,5,10,10,190,15,20,35,-0.753327667,-0.602059991,-0.268845312,0.15,0.2,0.35,1,79
101,1,157,11,87,9,5,10,10,157,20,35,45,-0.602059991,-0.268845312,-0.087150176,0.2,0.35,0.45,1,80
102,1,15,11,97,10,4,10,10,15,20,25,35,-0.602059991,-0.477121255,-0.268845312,0.2,0.25,0.35,1,82
103,1,69,12,4,1,6,3,3,69,1,10,30,-1.995635195,-0.954242509,-0.367976785,0.01,0.1,0.3,1,82
104,1,64,12,9,1,6,3,3,64,5,5,25,-1.278753601,-1.278753601,-0.477121255,0.05,0.05,0.25,1,81
105,1,139,12,27,3,4,3,3,139,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,1,78
106,1,50,12,45,5,2,18,18,50,5,10,20,-1.278753601,-0.954242509,-0.602059991,0.05,0.1,0.2,1,83
107,1,8,12,46,5,2,18,18,8,5,15,25,-1.278753601,-0.753327667,-0.477121255,0.05,0.15,0.25,1,80
108,1,1,12,50,5,2,18,18,1,10,15,15,-0.954242509,-0.753327667,-0.753327667,0.1,0.15,0.15,1,91
109,1,93,12,56,6,3,18,18,93,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,86
110,1,88,12,61,7,3,18,18,88,15,NA,NA,-0.753327667,NA,NA,0.15,NA,NA,1,NA
111,1,3,12,77,8,6,10,10,3,10,20,25,-0.954242509,-0.602059991,-0.477121255,0.1,0.2,0.25,1,82
112,1,37,12,93,10,4,10,10,37,20,25,40,-0.602059991,-0.477121255,-0.176091259,0.2,0.25,0.4,1,76
113,1,163,12,98,10,4,10,10,163,20,30,35,-0.602059991,-0.367976785,-0.268845312,0.2,0.3,0.35,1,77
114,1,202,13,9,1,1,5,27,5,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,99
115,1,12,13,19,2,2,5,5,12,0,1,5,-2.298853076,-1.995635195,-1.278753601,0.005,0.01,0.05,1,84
116,1,190,13,23,3,3,5,5,190,5,5,NA,-1.278753601,-1.278753601,NA,0.05,0.05,NA,1,78
117,1,39,13,24,3,3,5,5,39,10,5,15,-0.954242509,-1.278753601,-0.753327667,0.1,0.05,0.15,1,87
118,1,202,13,87,9,2,25,27,25,1,1,15,-1.995635195,-1.995635195,-0.753327667,0.01,0.01,0.15,1,90
119,1,110,13,95,10,3,25,25,110,0,5,20,-2.298853076,-1.278753601,-0.602059991,0.005,0.05,0.2,1,84
120,1,71,13,96,10,3,25,25,71,10,25,30,-0.954242509,-0.477121255,-0.367976785,0.1,0.25,0.3,1,82
121,1,161,13,99,10,3,25,25,161,NA,15,35,NA,-0.753327667,-0.268845312,NA,0.15,0.35,1,82
122,1,37,14,8,1,1,5,5,37,1,0,5,-1.995635195,-2.298853076,-1.278753601,0.01,0.005,0.05,1,80
123,1,202,14,14,2,2,5,27,5,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,95
124,1,3,14,24,3,3,5,5,3,5,10,15,-1.278753601,-0.954242509,-0.753327667,0.05,0.1,0.15,1,82
125,1,176,14,26,3,3,5,5,176,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,82
126,1,37,14,30,3,3,5,5,37,5,1,5,-1.278753601,-1.995635195,-1.278753601,0.05,0.01,0.05,1,80
127,1,202,14,31,4,3,5,27,5,1,1,1,-1.995635195,-1.995635195,-1.995635195,0.01,0.01,0.01,1,99
128,1,202,14,37,4,6,22,27,22,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,1,76
129,1,133,14,73,8,1,25,25,133,10,NA,35,-0.954242509,NA,-0.268845312,0.1,NA,0.35,1,82
130,1,139,14,76,8,1,25,25,139,NA,15,30,NA,-0.753327667,-0.367976785,NA,0.15,0.3,1,86
131,1,3,14,85,9,2,25,25,3,5,10,10,-1.278753601,-0.954242509,-0.954242509,0.05,0.1,0.1,1,88
132,1,12,14,87,9,2,25,25,12,10,20,25,-0.954242509,-0.602059991,-0.477121255,0.1,0.2,0.25,1,90
133,1,27,14,95,10,3,25,25,27,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,81
134,1,84,15,4,1,6,5,5,84,NA,NA,5,NA,NA,-1.278753601,NA,NA,0.05,1,84
135,1,76,15,5,1,6,5,5,76,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,1,86
136,1,9,15,7,1,6,5,5,9,5,5,5,-1.278753601,-1.278753601,-1.278753601,0.05,0.05,0.05,1,81
137,1,99,15,18,2,5,5,5,99,10,10,15,-0.954242509,-0.954242509,-0.753327667,0.1,0.1,0.15,1,83
138,1,202,15,20,2,5,5,27,5,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,99
139,1,104,15,26,3,4,5,5,104,5,10,10,-1.278753601,-0.954242509,-0.954242509,0.05,0.1,0.1,1,83
140,1,85,15,33,4,4,5,5,85,1,5,NA,-1.995635195,-1.278753601,NA,0.01,0.05,NA,1,82
141,1,79,15,36,4,1,22,22,79,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,1,78
142,1,202,15,44,5,1,22,27,22,5,10,15,-1.278753601,-0.954242509,-0.753327667,0.05,0.1,0.15,1,75
143,1,11,15,84,9,5,25,25,11,0,1,10,-2.298853076,-1.995635195,-0.954242509,0.005,0.01,0.1,1,82
144,1,149,15,86,9,5,25,25,149,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,1,82
145,1,113,15,87,9,5,25,25,113,5,NA,NA,-1.278753601,NA,NA,0.05,NA,NA,1,82
146,1,62,15,90,9,4,25,25,62,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,1,85
147,1,119,16,5,1,6,5,5,119,NA,1,5,NA,-1.995635195,-1.278753601,NA,0.01,0.05,1,82
148,1,149,16,7,1,6,5,5,149,10,10,20,-0.954242509,-0.954242509,-0.602059991,0.1,0.1,0.2,1,80
149,1,5,16,17,2,5,5,5,5,1,1,10,-1.995635195,-1.995635195,-0.954242509,0.01,0.01,0.1,1,81
150,1,119,16,18,2,5,5,5,119,1,5,10,-1.995635195,-1.278753601,-0.954242509,0.01,0.05,0.1,1,82
151,1,5,16,25,3,4,5,5,5,NA,1,5,NA,-1.995635195,-1.278753601,NA,0.01,0.05,1,81
152,1,63,16,77,8,6,25,25,63,5,5,30,-1.278753601,-1.278753601,-0.367976785,0.05,0.05,0.3,1,89
153,1,25,16,79,8,5,25,25,25,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,1,87
154,1,128,16,85,9,5,25,25,128,5,10,30,-1.278753601,-0.954242509,-0.367976785,0.05,0.1,0.3,1,84
155,1,182,16,87,9,5,25,25,182,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,1,82
156,1,118,16,98,10,4,25,25,118,15,20,20,-0.753327667,-0.602059991,-0.602059991,0.15,0.2,0.2,1,80
157,1,158,17,1,1,1,13,13,158,20,20,30,-0.602059991,-0.602059991,-0.367976785,0.2,0.2,0.3,1,84
158,1,135,17,16,2,2,13,13,135,1,5,10,-1.995635195,-1.278753601,-0.954242509,0.01,0.05,0.1,1,90
159,1,100,17,39,4,6,8,8,100,7,NA,NA,-1.123384909,NA,NA,0.07,NA,NA,1,NA
160,1,64,17,42,5,6,8,8,64,NA,NA,10,NA,NA,-0.954242509,NA,NA,0.1,1,85
161,1,152,17,44,5,6,8,8,152,7,15,20,-1.123384909,-0.753327667,-0.602059991,0.07,0.15,0.2,1,88
162,1,32,17,50,5,5,8,8,32,10,10,10,-0.954242509,-0.954242509,-0.954242509,0.1,0.1,0.1,1,89
163,1,66,17,82,9,2,1,1,66,15,30,35,-0.753327667,-0.367976785,-0.268845312,0.15,0.3,0.35,1,80
164,1,75,17,87,9,2,1,1,75,25,40,40,-0.477121255,-0.176091259,-0.176091259,0.25,0.4,0.4,1,77
165,1,113,17,91,10,3,1,1,113,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,78
166,1,202,17,97,10,3,1,27,1,5,15,25,-1.278753601,-0.753327667,-0.477121255,0.05,0.15,0.25,1,77
167,1,139,18,5,1,1,13,13,139,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,79
168,1,131,18,26,3,3,13,13,131,1,5,10,-1.995635195,-1.278753601,-0.954242509,0.01,0.05,0.1,1,78
169,1,96,18,27,3,3,13,13,96,1,1,10,-1.995635195,-1.995635195,-0.954242509,0.01,0.01,0.1,1,81
170,1,196,18,28,3,3,13,13,196,1,5,5,-1.995635195,-1.278753601,-1.278753601,0.01,0.05,0.05,1,82
171,1,176,18,50,5,5,8,8,176,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,84
172,1,160,18,85,9,2,1,1,160,25,25,30,-0.477121255,-0.477121255,-0.367976785,0.25,0.25,0.3,1,82
173,1,98,18,98,10,3,1,1,98,15,30,45,-0.753327667,-0.367976785,-0.087150176,0.15,0.3,0.45,1,80
174,1,120,19,2,1,6,13,13,120,1,1,10,-1.995635195,-1.995635195,-0.954242509,0.01,0.01,0.1,1,88
175,1,202,19,5,1,6,13,27,13,0,1,1,-2.298853076,-1.995635195,-1.995635195,0.005,0.01,0.01,1,93
176,1,148,19,6,1,6,13,13,148,0,1,1,-2.298853076,-1.995635195,-1.995635195,0.005,0.01,0.01,1,84
177,1,143,19,15,2,5,13,13,143,5,1,5,-1.278753601,-1.995635195,-1.278753601,0.05,0.01,0.05,1,83
178,1,98,19,24,3,4,13,13,98,1,5,15,-1.995635195,-1.278753601,-0.753327667,0.01,0.05,0.15,1,NA
179,1,130,19,25,3,4,13,13,130,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,81
180,1,33,19,36,4,1,8,8,33,5,10,10,-1.278753601,-0.954242509,-0.954242509,0.05,0.1,0.1,1,87
181,1,121,19,60,6,3,8,8,121,5,10,10,-1.278753601,-0.954242509,-0.954242509,0.05,0.1,0.1,1,77
182,1,51,20,17,2,5,13,13,51,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,1,82
183,1,149,20,18,2,5,13,13,149,1,5,15,-1.995635195,-1.278753601,-0.753327667,0.01,0.05,0.15,1,82
184,1,63,20,21,3,5,13,13,63,NA,1,1,NA,-1.995635195,-1.995635195,NA,0.01,0.01,1,92
185,1,103,20,27,3,4,13,13,103,0,1,1,-2.298853076,-1.995635195,-1.995635195,0.005,0.01,0.01,1,80
186,1,9,20,30,3,4,13,13,9,NA,1,5,NA,-1.995635195,-1.278753601,NA,0.01,0.05,1,81
187,1,13,20,32,4,4,13,13,13,1,1,10,-1.995635195,-1.995635195,-0.954242509,0.01,0.01,0.1,1,87
188,1,117,20,60,6,3,8,8,117,5,NA,5,-1.278753601,NA,-1.278753601,0.05,NA,0.05,1,99
189,1,177,20,81,9,5,1,1,177,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,91
190,1,75,21,5,1,1,26,26,75,1,1,10,-1.995635195,-1.995635195,-0.954242509,0.01,0.01,0.1,1,82
191,1,33,21,8,1,1,26,26,33,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,82
192,1,129,21,10,1,1,26,26,129,20,25,35,-0.602059991,-0.477121255,-0.268845312,0.2,0.25,0.35,1,84
193,1,29,21,31,4,3,26,26,29,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,1,87
194,1,47,21,65,7,4,21,21,47,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,83
195,1,184,21,73,8,1,19,19,184,20,30,40,-0.602059991,-0.367976785,-0.176091259,0.2,0.3,0.4,1,76
196,1,43,21,88,9,2,19,19,43,15,25,40,-0.753327667,-0.477121255,-0.176091259,0.15,0.25,0.4,1,80
197,1,136,22,8,1,1,26,26,136,NA,NA,30,NA,NA,-0.367976785,NA,NA,0.3,1,90
198,1,182,22,10,1,1,26,26,182,20,25,30,-0.602059991,-0.477121255,-0.367976785,0.2,0.25,0.3,1,88
199,1,11,22,14,2,2,26,26,11,20,25,30,-0.602059991,-0.477121255,-0.367976785,0.2,0.25,0.3,1,79
200,1,117,22,29,3,3,26,26,117,15,25,40,-0.753327667,-0.477121255,-0.176091259,0.15,0.25,0.4,1,76
201,1,121,22,32,4,3,26,26,121,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,1,80
202,1,189,22,38,4,6,21,21,189,5,NA,5,-1.278753601,NA,-1.278753601,0.05,NA,0.05,1,83
203,1,135,22,48,5,5,21,21,135,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,1,80
204,1,120,22,62,7,4,21,21,120,15,25,30,-0.753327667,-0.477121255,-0.367976785,0.15,0.25,0.3,1,76
205,1,21,22,89,9,3,19,19,21,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,1,76
206,1,193,22,93,10,3,19,19,193,15,15,35,-0.753327667,-0.753327667,-0.268845312,0.15,0.15,0.35,1,75
207,1,17,23,31,4,4,26,26,17,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,1,81
208,1,22,23,40,4,1,21,21,22,10,10,15,-0.954242509,-0.954242509,-0.753327667,0.1,0.1,0.15,1,88
209,1,130,23,41,5,1,21,21,130,1,NA,1,-1.995635195,NA,-1.995635195,0.01,NA,0.01,1,83
210,1,77,23,50,5,2,21,21,77,1,NA,5,-1.995635195,NA,-1.278753601,0.01,NA,0.05,1,77
211,1,30,23,74,8,6,19,19,30,15,20,20,-0.753327667,-0.602059991,-0.602059991,0.15,0.2,0.2,1,79
212,1,56,24,5,1,6,26,26,56,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,1,78
213,1,177,24,13,2,5,26,26,177,20,25,30,-0.602059991,-0.477121255,-0.367976785,0.2,0.25,0.3,1,82
214,1,86,24,14,2,5,26,26,86,1,1,NA,-1.995635195,-1.995635195,NA,0.01,0.01,NA,1,82
215,1,135,24,16,2,5,26,26,135,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,1,80
216,1,185,24,30,3,4,26,26,185,15,20,NA,-0.753327667,-0.602059991,NA,0.15,0.2,NA,1,79
217,1,158,24,64,7,3,21,21,158,25,35,40,-0.477121255,-0.268845312,-0.176091259,0.25,0.35,0.4,1,81
218,1,2,25,12,2,2,2,2,2,1,5,15,-1.995635195,-1.278753601,-0.753327667,0.01,0.05,0.15,1,82
219,1,128,25,21,3,2,2,2,128,1,5,5,-1.995635195,-1.278753601,-1.278753601,0.01,0.05,0.05,1,82
220,1,111,25,29,3,3,2,2,111,15,25,30,-0.753327667,-0.477121255,-0.367976785,0.15,0.25,0.3,1,81
221,1,137,25,40,4,6,7,7,137,10,10,30,-0.954242509,-0.954242509,-0.367976785,0.1,0.1,0.3,1,84
222,1,52,25,54,6,5,7,7,52,10,20,25,-0.954242509,-0.602059991,-0.477121255,0.1,0.2,0.25,1,NA
